step,center_y,center_x,size
0,63.538838920686835,63.2420278004906,1223
1,64.95324283559577,63.794871794871796,663
2,67.70572207084469,63.63487738419619,367
3,66.74248927038627,64.04721030042919,233
4,63.33870967741935,62.05913978494624,186
5,63.43258426966292,63.59550561797753,178
6,62.62559241706161,63.76777251184834,211
7,61.53113553113553,63.88644688644688,273
8,63.625,65.27696078431373,408
9,63.51286173633441,64.59324758842443,622
10,64.17219251336898,63.749732620320856,935
11,64.45137880986938,64.2133526850508,1378
12,65.20604099244876,64.17313915857605,1854
13,65.62705592105263,63.63815789473684,2432
14,65.40760157273918,63.30897771952818,3052
15,65.1170903190914,63.333964305029745,3698
16,64.97920903954802,63.550282485875705,4425
17,64.86885564406451,63.64950456576646,5147
18,64.29832572298325,63.31557584982242,5913
19,64.13011652225875,63.22930982969824,6694
20,63.94729802033173,63.17549491706795,7476
21,63.69824348879467,63.052937613567536,8255
22,63.61760461760462,62.84781884781885,9009
23,63.622174270448006,63.120530209617755,9732
24,63.587556495816905,62.95739974997596,10399
25,63.66262223831945,62.94404201376313,11044
26,63.66701093037267,62.9139340735003,11619
27,63.72775041050903,62.96247947454844,12180
28,63.745607154063386,62.91229996862253,12748
29,63.74040205562273,62.79081015719468,13232
30,63.65749414519906,62.84587236533958,13664
31,63.61359112880296,62.87553312482229,14068
32,63.617389491242704,62.97414512093411,14388
33,63.665168845315904,63.02205882352941,14688
34,63.59292983395822,63.1140867702196,14936
35,63.554814423457934,63.11577070400212,15142
36,63.58570776553433,63.144421986046815,15337
37,63.62193073145516,63.152688033083486,15476
38,63.59855183903627,63.19678328847879,15606
39,63.57335624721533,63.2553624848832,15711
40,63.56779500158178,63.28706105662765,15805
41,63.57695214105794,63.28091939546599,15880
42,63.59906015037594,63.3125313283208,15960
43,63.593984023964055,63.31171992011982,16024
44,63.570326594090204,63.35825816485225,16075
45,63.558794343835274,63.36957330687174,16124
46,63.54102009273571,63.38009273570324,16175
47,63.51166666666666,63.39228395061728,16200
48,63.520704954399804,63.40818338673897,16228
49,63.50996800393798,63.45188284518829,16252
50,63.49127764127764,63.46394348894349,16280
51,63.496902410599276,63.48672023553947,16303
52,63.491023834323876,63.48501930028797,16321
53,63.47376477070961,63.477560766546254,16333
54,63.47115325787703,63.493361884368305,16345
55,63.47875267502293,63.49654539896056,16355
56,63.4882967670965,63.49202468984905,16363
57,63.49330889092575,63.492147876565845,16365
58,63.493005925111476,63.48873007146784,16371
59,63.49792379091353,63.494198827552516,16376
60,63.498137404580156,63.492885496183206,16375
61,63.497313469288066,63.49706923922335,16378
62,63.49438339438339,63.49682539682539,16380
63,63.49801599413955,63.49612355778036,16381
64,63.499237013977904,63.501800647012146,16383
65,63.499175975096136,63.49899285845083,16383
66,63.499175975096136,63.49899285845083,16383
67,63.5,63.5,16384
68,63.5,63.5,16384
69,63.5,63.5,16384
70,63.5,63.5,16384
71,63.5,63.5,16384
72,63.5,63.5,16384
73,63.5,63.5,16384
74,63.5,63.5,16384
75,63.5,63.5,16384
76,63.5,63.5,16384
77,63.5,63.5,16384
78,63.5,63.5,16384
79,63.5,63.5,16384
80,63.5,63.5,16384
81,63.5,63.5,16384
82,63.5,63.5,16384
83,63.5,63.5,16384
84,63.5,63.5,16384
85,63.5,63.5,16384
86,63.5,63.5,16384
87,63.5,63.5,16384
88,63.5,63.5,16384
89,63.5,63.5,16384
90,63.5,63.5,16384
91,63.5,63.5,16384
92,63.5,63.5,16384
93,63.5,63.5,16384
94,63.5,63.5,16384
95,63.5,63.5,16384
96,63.5,63.5,16384
97,63.5,63.5,16384
98,63.5,63.5,16384
99,63.5,63.5,16384
100,63.5,63.5,16384
101,63.5,63.5,16384
102,63.5,63.5,16384
103,63.5,63.5,16384
104,63.5,63.5,16384
105,63.5,63.5,16384
106,63.5,63.5,16384
107,63.5,63.5,16384
108,63.5,63.5,16384
109,63.5,63.5,16384
110,63.5,63.5,16384
111,63.5,63.5,16384
112,63.5,63.5,16384
113,63.5,63.5,16384
114,63.5,63.5,16384
115,63.5,63.5,16384
116,63.5,63.5,16384
117,63.5,63.5,16384
118,63.5,63.5,16384
119,63.5,63.5,16384
120,63.5,63.5,16384
121,63.5,63.5,16384
122,63.5,63.5,16384
123,63.5,63.5,16384
124,63.5,63.5,16384
125,63.5,63.5,16384
126,63.5,63.5,16384
127,63.5,63.5,16384
128,63.5,63.5,16384
129,63.5,63.5,16384
130,63.5,63.5,16384
131,63.5,63.5,16384
132,63.5,63.5,16384
133,63.5,63.5,16384
134,63.5,63.5,16384
135,63.5,63.5,16384
136,63.5,63.5,16384
137,63.5,63.5,16384
138,63.5,63.5,16384
139,63.5,63.5,16384
140,63.5,63.5,16384
141,63.5,63.5,16384
142,63.5,63.5,16384
143,63.5,63.5,16384
144,63.5,63.5,16384
145,63.5,63.5,16384
146,63.5,63.5,16384
147,63.5,63.5,16384
148,63.5,63.5,16384
149,63.5,63.5,16384
150,63.5,63.5,16384
151,63.5,63.5,16384
152,63.5,63.5,16384
153,63.5,63.5,16384
154,63.5,63.5,16384
155,63.5,63.5,16384
156,63.5,63.5,16384
157,63.5,63.5,16384
158,63.5,63.5,16384
159,63.5,63.5,16384
160,63.5,63.5,16384
161,63.5,63.5,16384
162,63.5,63.5,16384
163,63.5,63.5,16384
164,63.5,63.5,16384
165,63.5,63.5,16384
166,63.5,63.5,16384
167,63.5,63.5,16384
168,63.5,63.5,16384
169,63.5,63.5,16384
170,63.5,63.5,16384
171,63.5,63.5,16384
172,63.5,63.5,16384
173,63.5,63.5,16384
174,63.5,63.5,16384
175,63.5,63.5,16384
176,63.5,63.5,16384
177,63.5,63.5,16384
178,63.5,63.5,16384
179,63.5,63.5,16384
180,63.5,63.5,16384
181,63.5,63.5,16384
182,63.5,63.5,16384
183,63.5,63.5,16384
184,63.5,63.5,16384
185,63.5,63.5,16384
186,63.5,63.5,16384
187,63.5,63.5,16384
188,63.5,63.5,16384
189,63.5,63.5,16384
190,63.5,63.5,16384
191,63.5,63.5,16384
192,63.5,63.5,16384
193,63.5,63.5,16384
194,63.5,63.5,16384
195,63.5,63.5,16384
196,63.5,63.5,16384
197,63.5,63.5,16384
198,63.5,63.5,16384
199,63.5,63.5,16384
200,63.5,63.5,16384
201,63.5,63.5,16384
202,63.5,63.5,16384
203,63.5,63.5,16384
204,63.5,63.5,16384
205,63.5,63.5,16384
206,63.5,63.5,16384
207,63.5,63.5,16384
208,63.5,63.5,16384
209,63.5,63.5,16384
210,63.5,63.5,16384
211,63.5,63.5,16384
212,63.5,63.5,16384
213,63.5,63.5,16384
214,63.5,63.5,16384
215,63.5,63.5,16384
216,63.5,63.5,16384
217,63.5,63.5,16384
218,63.5,63.5,16384
219,63.5,63.5,16384
220,63.5,63.5,16384
221,63.5,63.5,16384
222,63.5,63.5,16384
223,63.5,63.5,16384
224,63.5,63.5,16384
225,63.5,63.5,16384
226,63.5,63.5,16384
227,63.5,63.5,16384
228,63.5,63.5,16384
229,63.5,63.5,16384
230,63.5,63.5,16384
231,63.5,63.5,16384
232,63.5,63.5,16384
233,63.5,63.5,16384
234,63.5,63.5,16384
235,63.5,63.5,16384
236,63.5,63.5,16384
237,63.5,63.5,16384
238,63.5,63.5,16384
239,63.5,63.5,16384
240,63.5,63.5,16384
241,63.5,63.5,16384
242,63.5,63.5,16384
243,63.5,63.5,16384
244,63.5,63.5,16384
245,63.5,63.5,16384
246,63.5,63.5,16384
